StartTime,EndTime,FilteredVolume,FilteredDuration,FilteredFlowRate,OriginalVolume,OriginalDuration,OriginalFlowRate,RMS,Number_of_peaks,Peak_Value,Mode_Value,Label
7/21/20 9:44:39,7/21/20 9:45:7,0.790761,0.466666667,1.694487857,0.915618,0.466666667,1.962038571,0.120828289,1,0.166476,0.083238,faucet
7/21/20 9:45:59,7/21/20 9:46:15,0.332952,0.266666667,1.24857,0.457809,0.266666667,1.71678375,0.088287231,0,0.124857,0.083238,faucet
7/21/20 10:04:27,7/21/20 10:05:11,0.457809,0.733333333,0.624285,0.541047,0.733333333,0.737791364,0.041619,0,0.041619,0.041619,faucet
7/21/20 10:05:59,7/21/20 10:07:11,2.871711,1.2,2.3930925,3.495996,1.2,2.91333,0.162082718,1,0.208095,0.166476,toilet
7/21/20 10:08:7,7/21/20 10:08:27,0.208095,0.333333333,0.624285,0.332952,0.333333333,0.998856,0.041619,0,0.041619,0.041619,faucet
7/21/20 10:13:27,7/21/20 10:14:39,3.371139,1.2,2.8092825,3.912186,1.2,3.260155,0.194469574,5,0.249714,0.208095,toilet
7/21/20 10:29:51,7/21/20 10:30:7,0.166476,0.266666667,0.624285,0.208095,0.266666667,0.78035625,0.041619,0,0.041619,0.041619,faucet
7/21/20 10:31:43,7/21/20 10:31:59,0.166476,0.266666667,0.624285,0.249714,0.266666667,0.9364275,0.041619,0,0.041619,0.041619,faucet
7/21/20 10:45:19,7/21/20 10:45:39,0.249714,0.333333333,0.749142,0.332952,0.333333333,0.998856,0.052644334,0,0.083238,0.041619,faucet
7/21/20 10:46:27,7/21/20 10:47:39,3.204663,1.2,2.6705525,3.662472,1.2,3.05206,0.183260177,2,0.208095,0.208095,toilet
7/21/20 11:18:39,7/21/20 11:19:15,0.374571,0.6,0.624285,0.582666,0.6,0.97111,0.041619,0,0.041619,0.041619,faucet
7/21/20 11:32:35,7/21/20 11:33:3,0.291333,0.466666667,0.624285,0.457809,0.466666667,0.981019286,0.041619,0,0.041619,0.041619,faucet
7/21/20 11:36:59,7/21/20 11:37:7,0.124857,0.133333333,0.9364275,0.124857,0.133333333,0.9364275,0.065805417,0,0.083238,0.041619,faucet
7/21/20 11:45:3,7/21/20 12:01:11,46.321947,16.13333333,2.871195062,52.43994,16.13333333,3.250409504,0.19792319,5,0.249714,0.208095,hose
7/21/20 12:18:59,7/21/20 12:23:55,12.06951,4.933333333,2.446522297,13.817508,4.933333333,2.800846216,0.164068309,1,0.166476,0.166476,clothwasher
7/21/20 12:31:55,7/21/20 12:32:27,1.082094,0.533333333,2.02892625,1.331808,0.533333333,2.49714,0.13959437,2,0.166476,0.166476,toilet
7/21/20 12:35:31,7/21/20 12:35:55,0.665904,0.4,1.66476,0.915618,0.4,2.289045,0.117716309,0,0.166476,0.124857,toilet
7/21/20 12:36:47,7/21/20 12:37:3,0.332952,0.266666667,1.24857,0.457809,0.266666667,1.71678375,0.088287231,0,0.124857,0.083238,faucet
7/21/20 12:48:19,7/21/20 12:49:35,0.790761,1.266666667,0.624285,1.290189,1.266666667,1.018570263,0.041619,0,0.041619,0.041619,faucet
7/21/20 13:09:23,7/21/20 13:10:23,1.956093,1,1.956093,2.205807,1,2.205807,0.138034607,3,0.166476,0.166476,toilet
7/21/20 13:12:55,7/21/20 13:13:35,2.330664,0.666666667,3.495996,2.663616,0.666666667,3.995424,0.263221668,0,0.41619,0.332952,toilet
7/21/20 13:32:55,7/21/20 13:34:31,0.998856,1.6,0.624285,1.623141,1.6,1.014463125,0.041619,0,0.041619,0.041619,faucet
7/21/20 13:34:55,7/21/20 13:35:23,2.039331,0.466666667,4.369995,2.455521,0.466666667,5.261830714,0.314216559,1,0.41619,0.291333,toilet
7/21/20 13:37:19,7/21/20 13:37:43,0.249714,0.4,0.624285,0.291333,0.4,0.7283325,0.041619,0,0.041619,0.041619,faucet
7/21/20 13:44:7,7/21/20 13:44:23,0.208095,0.266666667,0.78035625,0.249714,0.266666667,0.9364275,0.055056762,0,0.083238,0.041619,faucet
7/21/20 13:51:15,7/21/20 13:52:31,3.121425,1.266666667,2.464282895,3.662472,1.266666667,2.891425263,0.170533687,2,0.249714,0.166476,toilet
7/21/20 14:02:51,7/21/20 14:03:3,0.124857,0.2,0.624285,0.124857,0.2,0.624285,0.041619,0,0.041619,0.041619,faucet
7/21/20 14:03:43,7/21/20 14:03:55,0.124857,0.2,0.624285,0.124857,0.2,0.624285,0.041619,0,0.041619,0.041619,faucet
7/21/20 14:49:19,7/21/20 14:50:27,0.707523,1.133333333,0.624285,1.123713,1.133333333,0.991511471,0.041619,0,0.041619,0.041619,faucet
7/21/20 15:42:55,7/21/20 15:43:19,1.872855,0.4,4.6821375,2.247426,0.4,5.618565,0.326384254,1,0.41619,0.291333,toilet
7/21/20 15:49:3,7/21/20 15:50:23,2.830092,1.333333333,2.122569,3.412758,1.333333333,2.5595685,0.148900661,2,0.166476,0.166476,toilet
7/21/20 15:53:55,7/21/20 15:54:19,0.249714,0.4,0.624285,0.332952,0.4,0.83238,0.041619,0,0.041619,0.041619,faucet
